TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;REGISTRO_VALIDO;ANO_REGISTRO;CLASSE_TERAPEUTICA_NORMALIZADA
MEDICAMENTO;A SAUDE DA MULHER;26/03/2012;NOVO;102351059.0;2029-01-07;25351668917201032;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;57507378000365 - EMS S/A;VALIDO;EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA +  EXTRATO FLUIDO DE PASSIFLORA ALATA +  SALICILATO DE SODIO +  TINTURA AGONIADA PLUMERIA;Sim;2029;antiespasmodicos_e_anticolinergicos-assoc__medicamentosas
MEDICAMENTO;AAS;09/09/2019;SIMILAR;183260386.0;2029-01-12;25351411966201938;ANALGESICOS NAO NARCOTICOS;10588595001092 - SANOFI MEDLEY FARMACEUTICA LTDA.;VALIDO;ACIDO ACETILSALICILICO;Sim;2029;analgesicos_nao_narcoticos
MEDICAMENTO;AAS PROTECT;09/09/2019;SIMILAR;183260387.0;2026-01-11;25351412012201942;ANTIAGREGANTE PLAQUETARIO;10588595001092 - SANOFI MEDLEY FARMACEUTICA LTDA.;VALIDO;ACIDO ACETILSALICILICO;Sim;2026;antiagregante_plaquetario
MEDICAMENTO;ABBA;25/03/2019;SIMILAR;146820078.0;2029-01-03;25351385248201818;AGENTES ANTINEOPLASICOS;05035244000123 - SUN FARMACEUTICA DO BRASIL LTDA;VALIDO;ACETATO DE ABIRATERONA;Sim;2029;agentes_antineoplasicos
MEDICAMENTO;ABC;24/10/2005;SIMILAR;106890153.0;2025-01-10;25351141033200572;ANTIMICOTICOS PARA USO TOPICO;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;VALIDO;CLOTRIMAZOL;Sim;2025;antimicoticos_para_uso_topico
MEDICAMENTO;ABCLER ABNAT;07/06/2001;SIMILAR;144930011.0;2026-01-06;253510001840168;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;01858973000129 - AIRELA INDUSTRIA FARMACEUTICA LTDA.;VALIDO;BETAINA +  CITRATO DE COLINA +  DL-METIONINA +  LEVOMETIONINA;Sim;2026;outros_produtos_para_o_aparelho_digestivo_e_metabolismo
MEDICAMENTO;ABERALGINA;04/06/2001;SIMILAR;144930010.0;2026-01-06;253510299080047;ANALGESICOS NAO NARCOTICOS;01858973000129 - AIRELA INDUSTRIA FARMACEUTICA LTDA.;VALIDO;DIPIRONA;Sim;2026;analgesicos_nao_narcoticos
MEDICAMENTO;ABLOK;08/05/2000;SIMILAR;109740100.0;2025-01-05;250000035789980;BETABLOQUEADORES SIMPLES;49475833000106 - BIOLAB SANUS FARMACEUTICA LTDA;VALIDO;ATENOLOL;Sim;2025;betabloqueadores_simples
MEDICAMENTO;ABLOK PLUS;29/06/1999;SIMILAR;109740092.0;2029-01-06;250000209279973;ANTI-HIPERTENSIVOS;49475833000106 - BIOLAB SANUS FARMACEUTICA LTDA;VALIDO;ATENOLOL +  CLORTALIDONA;Sim;2029;anti-hipertensivos
MEDICAMENTO;ABRETIA;20/02/2017;SIMILAR;103900192.0;2027-01-02;25351567981201697;ANTIDEPRESSIVOS;33349473000158 - FARMOQUIMICA S/A;VALIDO;CLORIDRATO DE DULOXETINA;Sim;2027;antidepressivos
